Loading (p.u.),Name,Bus1,Bus2
1.2946435165231405,Line.l(r:p1ulv23151-udt10201lv),udt10201lv.1.2,p1ulv23151.1.2
1.3024067158664219,Line.l(r:p1ulv24815-udt10626lv),udt10626lv.1.2,p1ulv24815.1.2
1.4374150003194326,Line.l(r:udm20988-udt5559lv),udt5559lv.1.2,udm20988.1.2
1.437415003768989,Line.l(r:p1ulv12443-udm20988),udm20988.1.2,p1ulv12443.1.2
2.3571816899282254,Line.l(r:p1ulv35974-udt14511lv),udt14511lv.1.2,p1ulv35974.1.2
2.4284393235668538,Line.l(r:p1ulv19003-udt8967lv),udt8967lv.1.2,p1ulv19003.1.2
2.4418353796039205,Line.l(r:p1ulv32583-udt13608lv),udt13608lv.1.2,p1ulv32583.1.2
2.5013986463425786,Line.l(r:p1ulv8827-udt3999lv),udt3999lv.1.2,p1ulv8827.1.2
2.584722772896858,Line.l(r:p1ulv13364-udt6154lv),udt6154lv.1.2,p1ulv13364.1.2
2.595115267309827,Line.l(r:p1ulv29115-udt12460lv),udt12460lv.1.2,p1ulv29115.1.2
2.6106454476908763,Line.l(r:p1ulv20153-udt9381lv),udt9381lv.1.2,p1ulv20153.1.2
2.666981320054381,Line.l(r:p1ulv9980-udt4622lv),udt4622lv.1.2,p1ulv9980.1.2
2.667633549177906,Line.l(r:udm24483-udm24484),udm24484.1.2,udm24483.1.2
2.6676339377351277,Line.l(r:p1ulv23995-udm24483),udm24483.1.2,p1ulv23995.1.2
2.783318465520445,Line.l(r:p1ulv18251-udt8703lv),udt8703lv.1.2,p1ulv18251.1.2
2.8581285857275325,Line.l(r:udm33190-udt9539lv),udt9539lv.1.2,udm33190.1.2
2.8581287553469257,Line.l(r:p1ulv20722-udm33190),udm33190.1.2,p1ulv20722.1.2
2.8998770475616302,Line.l(r:p1ulv25226-udm24484),udm24484.1.2,p1ulv25226.1.2
2.920377992097633,Line.l(r:udm24482-udt6558lv),udt6558lv.1.2,udm24482.1.2
2.9203780107488466,Line.l(r:p1ulv22414-udm24482),udm24482.1.2,p1ulv22414.1.2
2.9441703382454327,Line.l(r:p1ulv9975-udt4619lv),udt4619lv.1.2,p1ulv9975.1.2
2.9522825075076846,Line.l(r:p1ulv20401-udt9448lv),udt9448lv.1.2,p1ulv20401.1.2
2.962005775884807,Line.l(r:p1ulv9098-udt4132lv),udt4132lv.1.2,p1ulv9098.1.2
3.021435848621724,Line.l(r:udm24479-udm24481),udm24479.1.2,udm24481.1.2
3.021436017458902,Line.l(r:p1ulv19021-udm24481),udm24481.1.2,p1ulv19021.1.2
3.0299076966761667,Line.l(r:p1ulv34049-udt14040lv),udt14040lv.1.2,p1ulv34049.1.2
3.1001313849728187,Line.l(r:p1ulv8830-udt4002lv),udt4002lv.1.2,p1ulv8830.1.2
3.1003171843729325,Line.l(r:p1ulv13923-udm24479),udm24479.1.2,p1ulv13923.1.2
3.106970354998806,Line.l(r:p1ulv29647-udt12652lv),udt12652lv.1.2,p1ulv29647.1.2
3.1284525955986378,Line.l(r:p1ulv35794-udt14490lv),udt14490lv.1.2,p1ulv35794.1.2
3.220240711448798,Line.l(r:p1ulv21575-udt9770lv),udt9770lv.1.2,p1ulv21575.1.2
5.246107546706387,Line.l(r:udm24480-udt6558lv),udt6558lv.1.2,udm24480.1.2
5.396868531716544,Line.l(r:udm24480-udm24484),udm24480.1.2,udm24484.1.2
6.121459473236907,Line.l(r:udm24479-udt6558lv),udt6558lv.1.2,udm24479.1.2
