,46,TELEVISION3_BACKROW_BOTTOMFLOOR,INTERIORLIGHTING,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,47,ELECTRIC_MELS3_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,48,IECC_ADJ3_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,49,DISHWASHER1_FRONTROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,50,REFRIGERATOR1_FRONTROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,51,CLOTHESWASHER1_FRONTROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,52,ELECTRIC_DRYER1_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,53,ELECTRIC_RANGE1_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,54,TELEVISION1_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,55,ELECTRIC_MELS1_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,56,IECC_ADJ1_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,57,DISHWASHER2_FRONTROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,58,REFRIGERATOR2_FRONTROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,59,CLOTHESWASHER2_FRONTROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,60,ELECTRIC_DRYER2_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,61,ELECTRIC_RANGE2_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,62,TELEVISION2_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,63,ELECTRIC_MELS2_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,64,IECC_ADJ2_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,65,DISHWASHER3_FRONTROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,66,REFRIGERATOR3_FRONTROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,67,CLOTHESWASHER3_FRONTROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,68,ELECTRIC_DRYER3_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,69,ELECTRIC_RANGE3_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,70,TELEVISION3_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,71,ELECTRIC_MELS3_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,72,IECC_ADJ3_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,73,DISHWASHER1_BACKROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,74,REFRIGERATOR1_BACKROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,75,CLOTHESWASHER1_BACKROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,76,ELECTRIC_DRYER1_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,77,ELECTRIC_RANGE1_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,78,TELEVISION1_BACKROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,79,ELECTRIC_MELS1_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,80,IECC_ADJ1_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,81,DISHWASHER2_BACKROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,82,REFRIGERATOR2_BACKROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,83,CLOTHESWASHER2_BACKROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,84,ELECTRIC_DRYER2_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,85,ELECTRIC_RANGE2_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,86,TELEVISION2_BACKROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,87,ELECTRIC_MELS2_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,88,IECC_ADJ2_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,89,DISHWASHER3_BACKROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,90,REFRIGERATOR3_BACKROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,91,CLOTHESWASHER3_BACKROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,92,ELECTRIC_DRYER3_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,93,ELECTRIC_RANGE3_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,94,TELEVISION3_BACKROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,95,ELECTRIC_MELS3_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,96,IECC_ADJ3_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,97,DISHWASHER1_FRONTROW_TOPFLOOR,DISHWASHER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,98,REFRIGERATOR1_FRONTROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,99,CLOTHESWASHER1_FRONTROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,100,ELECTRIC_DRYER1_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,101,ELECTRIC_RANGE1_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,102,TELEVISION1_FRONTROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,103,ELECTRIC_MELS1_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,104,IECC_ADJ1_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,105,DISHWASHER2_FRONTROW_TOPFLOOR,DISHWASHER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,106,REFRIGERATOR2_FRONTROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,107,CLOTHESWASHER2_FRONTROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,108,ELECTRIC_DRYER2_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,109,ELECTRIC_RANGE2_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,110,TELEVISION2_FRONTROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,111,ELECTRIC_MELS2_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,112,IECC_ADJ2_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,113,DISHWASHER3_FRONTROW_TOPFLOOR,DISHWASHER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,114,REFRIGERATOR3_FRONTROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,115,CLOTHESWASHER3_FRONTROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,116,ELECTRIC_DRYER3_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,117,ELECTRIC_RANGE3_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,118,TELEVISION3_FRONTROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,119,ELECTRIC_MELS3_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,120,IECC_ADJ3_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,121,DISHWASHER1_BACKROW_TOPFLOOR,DISHWASHER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,122,REFRIGERATOR1_BACKROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,123,CLOTHESWASHER1_BACKROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,124,ELECTRIC_DRYER1_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,125,ELECTRIC_RANGE1_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,126,TELEVISION1_BACKROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,127,ELECTRIC_MELS1_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,128,IECC_ADJ1_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,129,DISHWASHER2_BACKROW_TOPFLOOR,DISHWASHER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,130,REFRIGERATOR2_BACKROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,131,CLOTHESWASHER2_BACKROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,132,ELECTRIC_DRYER2_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,133,ELECTRIC_RANGE2_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,134,TELEVISION2_BACKROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,135,ELECTRIC_MELS2_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,136,IECC_ADJ2_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,137,DISHWASHER3_BACKROW_TOPFLOOR,DISHWASHER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,138,REFRIGERATOR3_BACKROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,139,CLOTHESWASHER3_BACKROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,140,ELECTRIC_DRYER3_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,141,ELECTRIC_RANGE3_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,142,TELEVISION3_BACKROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,143,ELECTRIC_MELS3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,144,IECC_ADJ3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {Hours},ThermalConductance {Btu/h-ft2-F},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,7,1.000,0.0498,0.900,0.900,0.700,0.700,MediumSmooth
,2,CEILING-FLOOR-LAYER,3,1,5,1.000,0.228,0.900,0.900,0.700,0.700,Rough
,3,EXTERIOR FLOOR,4,3,3,1.000,0.300,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR CEILING,6,2,7,1.000,0.0190,0.900,0.900,0.700,0.700,Rough
,5,ATTIC FLOOR,7,2,7,1.000,0.0190,0.900,0.900,0.700,0.700,MediumSmooth
,6,INTERIORWALL,9,3,3,1.000,0.597,0.900,0.900,0.700,0.700,MediumSmooth
,7,EXTERIOR ROOF,11,2,2,1.000,0.943,0.900,0.900,0.750,0.700,MediumRough
,8,EXTERIOR DOOR,14,1,3,1.000,0.300,0.900,0.900,0.700,0.700,Smooth
,9,GABLE_END,16,5,4,1.000,0.428,0.900,0.900,0.700,0.700,MediumSmooth
,10,BASEMENT WALL,24,3,6,1.000,0.0664,0.900,0.900,0.700,0.700,Rough
,11,iz-EXTERIOR FLOOR,25,3,3,1.000,0.300,0.900,0.900,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {ft},Conductivity {w/m-K},Density {lb/ft3},Specific Heat {Btu/lbm-R},ThermalResistance {m2-K/w}
,1,SYN_STUCCO,0.0098,0.086,24.971,0.210,0.3524E-01
,2,SHEATHING_CONSOL_LAYER,0.1020,0.035,1.255,0.350,0.8807
,3,OSB_7/16IN,0.0364,0.116,34.000,0.290,0.9555E-01
,4,WALL_CONSOL_LAYER,0.4584,0.057,7.541,0.248,2.444
,5,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,6,LUMBER_2X4,0.2920,0.115,32.003,0.183,0.7709
,7,FLOOR_CONSOL_LAYER,0.0010,12.990,3.438,0.219,0.1955E-04
,8,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,9,CARPET_N_PAD,0.0833,0.060,2.000,0.200,0.4224
,10,CEIL_CONSOL_LAYER,1.8587,0.062,2.618,0.185,9.179
,11,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,12,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,13,CEIL_CONSOL_LAYER,1.8587,0.062,2.618,0.185,9.179
,14,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,15,OSB_5/8IN,0.0522,0.116,34.000,0.290,0.1365
,16,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,17,ASPHALT_SHINGLE,0.0207,0.082,70.000,0.300,0.7745E-01
,18,OSB_1/2IN,0.0417,0.116,34.000,0.290,0.1092
,19,DOOR_CONST,0.1388,0.072,32.003,0.183,0.5870
,20,CEMENT_STUCCO,0.0627,0.721,116.464,0.210,0.2642E-01
,21,BLDG_PAPER_FELT,0.0000,0.000,0.000,0.000,0.1057E-01
,22,OSB_5/8IN,0.0522,0.116,34.000,0.290,0.1365
,23,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,24,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,25,BSMTWALL_CONSOL_LAYER,0.4584,0.060,7.541,0.248,2.323
,26,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,27,CARPET_N_PAD,0.0833,0.060,2.000,0.200,0.4224
,28,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
