,,,AdjustReturnOnly,AdjustInfiltration,AllZones}
,,,AdjustMixingThenReturn,None},
,,,AdjustReturnThenMixing,,
,,,None},,
,1,No,N/A,N/A,N/A


HVACSystemRootFindingAlgorithm

,,Value {RegulaFalsi
,,Bisection
,,BisectionThenRegulaFalsi
,,RegulaFalsiThenBisection}
,1,RegulaFalsi


Environment:Site Atmospheric Variation

,,Wind Speed Profile Exponent {},Wind Speed Profile Boundary Layer Thickness {ft},Air Temperature Gradient Coefficient {F/ft}
,1,0.220,1213.970,0.003566


Material Details

,,Material Name,ThermalResistance {m2-K/w},Roughness,Thickness {ft},Conductivity {w/m-K},Density {lb/ft3},Specific Heat {Btu/lbm-R},Absorptance:Thermal,Absorptance:Solar,Absorptance:Visible
,1,SHEATHING_CONSOL_LAYER,0.8807,Rough,0.1021,3.533E-002,1.255,0.350,0.9000,0.7000,0.7000
,2,CEIL_CONSOL_LAYER,9.1788,Rough,1.8587,6.172E-002,2.618,0.185,0.9000,0.7000,0.7000
,3,FLOOR_CONSOL_LAYER,1.9554E-005,Rough,0.0008,12.990,3.438,0.219,0.9000,0.7000,0.7000
,4,BSMTWALL_CONSOL_LAYER,2.3423E-005,Rough,0.0008,10.844,7.541,0.248,0.9000,0.7000,0.7000
,5,CRAWLWALL_CONSOL_LAYER,2.3423E-005,Rough,0.0008,10.844,7.541,0.248,0.9000,0.7000,0.7000
,6,WALL_CONSOL_LAYER,2.4438,Rough,0.4584,5.717E-002,7.541,0.248,0.9000,0.7000,0.7000
,7,VERY HIGH REFLECTIVITY SURFACE,2.1097E-006,Smooth,0.0016,237.000,168.680,0.216,0.9000,5.0000E-002,5.0000E-002
,8,GYPSUMBOARD-5/16IN,5.0054E-002,Rough,0.0260,0.159,39.954,0.270,0.9000,0.4000,0.1000
,9,COPPERPIPE,4.7506E-005,MediumRough,0.0625,401.000,140.026,0.200,0.9000,0.6500,0.6500
,10,F08 METAL SURFACE,1.7668E-005,Smooth,0.0026,45.280,488.437,0.119,0.9000,0.7000,0.7000
,11,CONCRETE_4IN,7.7356E-002,Rough,0.3330,1.312,140.014,0.111,0.9000,0.7000,0.7000
,12,ASPHALT_SHINGLE,7.7448E-002,MediumRough,0.0208,8.186E-002,70.000,0.300,0.9000,0.7500,0.7000
,13,WOOD_SHINGLE,0.1115,MediumSmooth,0.0417,0.114,26.600,0.390,0.9000,0.7000,0.7000
,14,SLATE_SHINGLE,8.8061E-003,MediumSmooth,0.0417,1.442,100.000,0.300,0.9000,0.7000,0.7000
,15,CEMENT_STUCCO,2.6422E-002,MediumSmooth,0.0625,0.721,116.464,0.210,0.9000,0.7000,0.7000
,16,SYN_STUCCO,3.5237E-002,MediumSmooth,0.0100,8.650E-002,24.971,0.210,0.9000,0.7000,0.7000
,17,DRYWALL_1/2IN,7.9331E-002,MediumSmooth,0.0417,0.160,50.000,0.260,0.9000,0.7000,0.7000
,18,OSB_5/8IN,0.1365,MediumSmooth,0.0521,0.116,34.000,0.290,0.9000,0.7000,0.7000
,19,OSB_7/16IN,9.5550E-002,MediumSmooth,0.0365,0.116,34.000,0.290,0.9000,0.7000,0.7000
,20,BLOWN_R30,5.1614,MediumRough,0.6975,4.119E-002,0.600,0.200,0.9000,0.7000,0.7000
,21,BLOWN_R30_TOP,2.8489,MediumRough,0.3849,4.119E-002,0.600,0.200,0.9000,0.7000,0.7000
,22,PLYWOOD_3/4IN,0.1650,Rough,0.0625,0.115,34.003,0.161,0.9000,0.7000,0.7000
,23,BATT_R19,7.3089,MediumRough,0.0833,3.475E-003,0.600,0.200,0.9000,0.7000,0.7000
,24,LUMBER_2X4,0.7709,Rough,0.2920,0.115,32.003,0.183,0.9000,0.7000,0.7000
,25,CARPET_N_PAD,0.4224,MediumSmooth,0.0833,6.013E-002,2.000,0.200,0.9000,0.7000,0.7000
,26,BATT_R13,2.2936,MediumRough,0.2917,3.876E-002,0.600,0.200,0.9000,0.7000,0.7000
,27,OSB_1/2IN,0.1092,MediumSmooth,0.0417,0.116,34.000,0.290,0.9000,0.7000,0.7000
,28,SOIL_12IN,0.1761,Rough,1.0000,1.731,115.011,0.056,0.9000,0.7000,0.7000
,29,DOOR_CONST,0.5870,Smooth,0.1387,7.201E-002,32.003,0.183,0.9000,0.7000,0.7000
,30,GYP_BOARD_1/2IN,8.0130E-002,Rough,0.0417,0.159,39.954,0.270,0.9000,0.4000,0.1000
,31,STD WOOD 6INCH,1.2500,MediumSmooth,0.4921,0.120,33.711,0.289,0.9000,0.7000,0.7000
,32,PIPE INSULATION,0.3830,VeryRough,0.0417,3.317E-002,5.681,0.200,0.9000,0.5000,0.5000
,33,MANF_WALL_AIRGAP,0.1200,Smooth,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,34,BLDG_PAPER_FELT,1.0567E-002,Smooth,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,35,R_HIGH,177.0000,MediumRough,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,36,CLEAR ACRYLIC PLASTIC,3.3333E-003,VerySmooth,0.0098,0.900,0.000,0.000,0.9000,0.0000,0.0000
,37,DIFFUSING ACRYLIC PLASTIC,2.4444E-003,VerySmooth,0.0072,0.900,0.000,0.000,0.9000,0.0000,0.0000
,38,INT_BLIND,0.0000,Rough,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000
,39,GLASS,0.4127,VerySmooth,0.1373,0.101,0.000,0.000,0.8400,0.0000,0.0000


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


Surface Geometry

,,Starting Corner,Vertex Input Direction,Coordinate System,Daylight Reference Point Coordinate System,Rectangular (Simple) Surface Coordinate System
,1,LowerLeftCorner,Counterclockwise,RelativeCoordinateSystem,RelativeCoordinateSystem,RelativeToZoneOrigin


Surface Heat Transfer Algorithm

,,Value {CTF - ConductionTransferFunction,Inside Surface Max Temperature Limit{F},Surface Convection Coefficient Lower Limit {Btu/h-ft2-F},Surface Convection Coefficient Upper Limit {Btu/h-ft2-F}
,,EMPD - MoisturePenetrationDepthConductionTransferFunction,,,
,,CondFD - ConductionFiniteDifference,,,
,,HAMT - CombinedHeatAndMoistureFiniteElement} - Description,,,
,1,CTF - ConductionTransferFunction,392.,0.02,176.1


Shading Summary

,,Number of Fixed Detached Shades,Number of Building Detached Shades,Number of Attached Shades
,1,0,0,60


Zone Summary

,,Number of Zones,Number of Zone Surfaces,Number of SubSurfaces
,1,20,171,48


Zone Information

,,Zone Name,North Axis {deg},Origin X-Coordinate {ft},Origin Y-Coordinate {ft},Origin Z-Coordinate {ft},Centroid X-Coordinate {ft},Centroid Y-Coordinate {ft},Centroid Z-Coordinate {ft},Type,Zone Multiplier,Zone List Multiplier,Minimum X {ft},Maximum X {ft},Minimum Y {ft},Maximum Y {ft},Minimum Z {ft},Maximum Z {ft},Ceiling Height {ft},Volume {ft3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {ft2},Exterior Gross Wall Area {ft2},Exterior Net Wall Area {ft2},Exterior Window Area {ft2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
,1,BREEZEWAY,0.0,0.00,0.00,0.00,59.94,32.55,13.26,1,1,1,0.00,119.89,30.05,35.04,0.49,25.99,17.00,30553.07,TARP,DOE-2,1798.18,0.00,0.00,0.00,4,0,0,Yes
,2,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,19.98,15.03,4.76,1,1,1,0.00,39.96,0.00,30.05,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,3,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,59.94,15.03,4.76,1,1,1,39.96,79.93,0.00,30.05,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,4,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,99.91,15.03,4.76,1,1,1,79.93,119.89,0.00,30.05,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,5,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,19.98,50.07,4.76,1,1,1,0.00,39.96,35.04,65.10,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,6,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,59.94,50.07,4.76,1,1,1,39.96,79.93,35.04,65.10,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,7,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,99.91,50.07,4.76,1,1,1,79.93,119.89,35.04,65.10,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,8,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,19.98,15.03,13.26,1,1,1,0.00,39.96,0.00,30.05,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,9,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,59.94,15.03,13.26,1,1,1,39.96,79.93,0.00,30.05,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,10,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,99.91,15.03,13.26,1,1,1,79.93,119.89,0.00,30.05,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,11,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,19.98,50.07,13.26,1,1,1,0.00,39.96,35.04,65.10,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,12,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,59.94,50.07,13.26,1,1,1,39.96,79.93,35.04,65.10,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,13,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,99.91,50.07,13.26,1,1,1,79.93,119.89,35.04,65.10,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,14,ATTIC,0.0,-134.9,51.61,0.00,59.94,32.55,29.56,1,1,1,0.00,119.89,0.00,65.10,25.99,39.54,6.76,52795.39,TARP,DOE-2,7802.66,881.33,881.33,0.00,11,0,0,Yes
,15,LIVING_UNIT3_BACKROW_TOPFLOOR,0.0,0.00,0.00,0.00,99.91,50.07,21.75,1,1,1,79.93,119.89,35.04,65.10,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,16,LIVING_UNIT3_FRONTROW_TOPFLOOR,0.0,0.00,0.00,0.00,99.91,15.03,21.75,1,1,1,79.93,119.89,0.00,30.05,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,17,LIVING_UNIT1_FRONTROW_TOPFLOOR,0.0,0.00,0.00,0.00,19.98,15.03,21.75,1,1,1,0.00,39.96,0.00,30.05,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,18,LIVING_UNIT2_BACKROW_TOPFLOOR,0.0,0.00,0.00,0.00,59.94,50.07,21.75,1,1,1,39.96,79.93,35.04,65.10,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,19,LIVING_UNIT2_FRONTROW_TOPFLOOR,0.0,0.00,0.00,0.00,59.94,15.03,21.75,1,1,1,39.96,79.93,0.00,30.05,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,20,LIVING_UNIT1_BACKROW_TOPFLOOR,0.0,0.00,0.00,0.00,19.98,50.07,21.75,1,1,1,0.00,39.96,35.04,65.10,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes


Zone Internal Gains Nominal

,,Zone Name,Floor Area {ft2},# Occupants,Area per Occupant {ft2/person},Occupant per Area {person/ft2},Interior Lighting {Btu/h-ft2},Electric Load {Btu/h-ft2},Gas Load {Btu/h-ft2},Other Load {Btu/h-ft2},Hot Water Eq {Btu/h-ft2},Steam Equipment {Btu/h-ft2},Sum Loads per Area {Btu/h-ft2},Outdoor Controlled Baseboard Heat
,1,BREEZEWAY,1798.18,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No
,2,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,3,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,4,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,5,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,6,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,7,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,8,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,9,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,10,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,11,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,12,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,13,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,14,ATTIC,7802.66,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No
,15,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,16,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,17,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,18,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,19,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,20,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No


People Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Number of People {},People/Floor Area {person/ft2},Floor Area per person {ft2/person},Fraction Radiant,Fraction Convected,Sensible Fraction Calculation,Activity level,ASHRAE 55 Warnings,Carbon Dioxide Generation Rate,Nominal Minimum Number of People,Nominal Maximum Number of People
,1,PEOPLE_UNIT1_FRONTROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,2,PEOPLE_UNIT2_FRONTROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,3,PEOPLE_UNIT3_FRONTROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,4,PEOPLE_UNIT1_BACKROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,5,PEOPLE_UNIT2_BACKROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,6,PEOPLE_UNIT3_BACKROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,7,PEOPLE_UNIT1_FRONTROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,8,PEOPLE_UNIT2_FRONTROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,9,PEOPLE_UNIT3_FRONTROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,10,PEOPLE_UNIT1_BACKROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,11,PEOPLE_UNIT2_BACKROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,12,PEOPLE_UNIT3_BACKROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,13,PEOPLE_UNIT1_FRONTROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,14,PEOPLE_UNIT2_FRONTROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,15,PEOPLE_UNIT3_FRONTROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,16,PEOPLE_UNIT1_BACKROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,17,PEOPLE_UNIT2_BACKROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,18,PEOPLE_UNIT3_BACKROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2


Lights Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Lighting Level {Btu/h},Lights/Floor Area {Btu/h-ft2},Lights per person {W/person},Fraction Return Air,Fraction Radiant,Fraction Short Wave,Fraction Convected,Fraction Replaceable,End-Use Category,Nominal Minimum Lighting Level {Btu/h},Nominal Maximum Lighting Level {Btu/h}
,1,LIVING HARDWIRED LIGHTING1_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,2,LIVING PLUG-IN LIGHTING1_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,3,LIVING HARDWIRED LIGHTING2_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,4,LIVING PLUG-IN LIGHTING2_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,5,LIVING HARDWIRED LIGHTING3_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,6,LIVING PLUG-IN LIGHTING3_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,7,LIVING HARDWIRED LIGHTING1_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,8,LIVING PLUG-IN LIGHTING1_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,9,LIVING HARDWIRED LIGHTING2_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,10,LIVING PLUG-IN LIGHTING2_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,11,LIVING HARDWIRED LIGHTING3_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,12,LIVING PLUG-IN LIGHTING3_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,13,LIVING HARDWIRED LIGHTING1_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,14,LIVING PLUG-IN LIGHTING1_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,15,LIVING HARDWIRED LIGHTING2_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,16,LIVING PLUG-IN LIGHTING2_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,17,LIVING HARDWIRED LIGHTING3_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,18,LIVING PLUG-IN LIGHTING3_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,19,LIVING HARDWIRED LIGHTING1_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,20,LIVING PLUG-IN LIGHTING1_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,21,LIVING HARDWIRED LIGHTING2_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,22,LIVING PLUG-IN LIGHTING2_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
