,17,VENTILATION_UNIT2_BACKROW_TOPFLOOR,ALWAYS_AVAIL,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,Exhaust,0.000,0.6,1.000,0.000,0.000,0.000,-148.0,212.00,-148.0,-148.0,212.00,7874.40
,18,VENTILATION_UNIT3_BACKROW_TOPFLOOR,ALWAYS_AVAIL,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,Exhaust,0.000,0.6,1.000,0.000,0.000,0.000,-148.0,212.00,-148.0,-148.0,212.00,7874.40
,19,VENTILATION_UNITHEATEDBSMT,ALWAYS_OFF,HEATEDBSMT,7794.37,0.0,0.000,0.000,N/A,0.000,Exhaust,0.000,0.6,1.000,0.000,0.000,0.000,-148.0,212.00,-148.0,-148.0,212.00,7874.40


AirFlow Model

,,Simple
,1,Simple


RoomAir Model

,,Zone Name,Mixing/Mundt/UCSDDV/UCSDCV/UCSDUFI/UCSDUFE/User Defined
,1,HEATEDBSMT,Mixing/Well-Stirred
,2,BREEZEWAY,Mixing/Well-Stirred
,3,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,Mixing/Well-Stirred
,4,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,Mixing/Well-Stirred
,5,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,Mixing/Well-Stirred
,6,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Mixing/Well-Stirred
,7,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Mixing/Well-Stirred
,8,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Mixing/Well-Stirred
,9,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Mixing/Well-Stirred
,10,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Mixing/Well-Stirred
,11,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Mixing/Well-Stirred
,12,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Mixing/Well-Stirred
,13,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Mixing/Well-Stirred
,14,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Mixing/Well-Stirred
,15,ATTIC,Mixing/Well-Stirred
,16,LIVING_UNIT3_BACKROW_TOPFLOOR,Mixing/Well-Stirred
,17,LIVING_UNIT3_FRONTROW_TOPFLOOR,Mixing/Well-Stirred
,18,LIVING_UNIT1_FRONTROW_TOPFLOOR,Mixing/Well-Stirred
,19,LIVING_UNIT2_BACKROW_TOPFLOOR,Mixing/Well-Stirred
,20,LIVING_UNIT2_FRONTROW_TOPFLOOR,Mixing/Well-Stirred
,21,LIVING_UNIT1_BACKROW_TOPFLOOR,Mixing/Well-Stirred


AirflowNetwork Model:Control

,,No Multizone or Distribution/Multizone with Distribution/Multizone without Distribution/Multizone with Distribution only during Fan Operation
,1,NoMultizoneOrDistribution


Zone Volume Capacitance Multiplier

,,Sensible Heat Capacity Multiplier,Moisture Capacity Multiplier,Carbon Dioxide Capacity Multiplier,Generic Contaminant Capacity Multiplier
,1,1.000,1.000,1.000,1.000


Load Timesteps in Zone Design Calculation Averaging Window

,,Value
,1,1


Heating Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Cooling Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Zone Sizing Information

,,Zone Name,Load Type,Calc Des Load {Btu/h},User Des Load {Btu/h},Calc Des Air Flow Rate {ft3/min},User Des Air Flow Rate {ft3/min},Design Day Name,Date/Time of Peak,Temperature at Peak {F},Humidity Ratio at Peak {lbWater/lbDryAir},Floor Area {ft2},# Occupants,Calc Outdoor Air Flow Rate {ft3/min},Calc DOAS Heat Addition Rate {Btu/h}
,1,HEATEDBSMT,Cooling,19826.14006,19826.14006,1013.41089,1013.41089,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,86.18000,0.01273,7794.38637,0.00000,44.99491,0.00000
,2,HEATEDBSMT,Heating,0.129169E+06,0.129169E+06,2358.00818,2358.00818,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 05:00:00,-26.8600,0.00018,7794.38637,0.00000,44.99491,0.00000
,3,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,Cooling,8994.73671,8994.73671,459.70333,459.70333,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,83.05520,0.01272,1200.55323,2.00000,44.99491,0.00000
,4,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,Heating,11760.97443,11760.97443,214.63980,214.63980,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,5,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,Cooling,5222.20907,5222.20907,250.31776,250.31776,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,69.44000,0.01271,1200.55323,2.00000,44.99491,0.00000
,6,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,Heating,8828.01152,8828.01152,161.11989,161.11989,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,7,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,Cooling,6798.81187,6798.81187,347.47877,347.47877,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,77.69840,0.01272,1200.55323,2.00000,44.99491,0.00000
,8,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,Heating,11767.96876,11767.96876,214.76692,214.76692,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,9,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Cooling,8436.22295,8436.22295,431.16520,431.16520,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,83.05520,0.01272,1200.55323,2.00000,44.99491,0.00000
,10,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Heating,11763.92079,11763.92079,214.70336,214.70336,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,11,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Cooling,5114.92763,5114.92763,245.02116,245.02116,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,69.44000,0.01271,1200.55323,2.00000,44.99491,0.00000
,12,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Heating,8828.48777,8828.48777,161.12858,161.12858,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,13,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Cooling,6265.45239,6265.45239,320.21182,320.21182,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,73.90400,0.01271,1200.55323,2.00000,44.99491,0.00000
,14,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Heating,11766.06708,11766.06708,214.74574,214.74574,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,15,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Cooling,9096.27568,9096.27568,464.89401,464.89401,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,83.05520,0.01272,1200.55323,2.00000,44.99491,0.00000
,16,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Heating,8123.57013,8123.57013,148.28346,148.28346,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,17,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Cooling,5814.22191,5814.22191,279.51268,279.51268,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,69.44000,0.01271,1200.55323,2.00000,44.99491,0.00000
,18,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Heating,5024.66351,5024.66351,91.72117,91.72117,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,19,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Cooling,7371.42271,7371.42271,376.73724,376.73724,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,77.69840,0.01272,1200.55323,2.00000,44.99491,0.00000
,20,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Heating,8124.41181,8124.41181,148.29892,148.29892,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,21,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Cooling,8349.34211,8349.34211,426.71605,426.71605,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,83.05520,0.01272,1200.55323,2.00000,44.99491,0.00000
,22,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Heating,8125.18790,8125.18790,148.31290,148.31290,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,23,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Cooling,5682.42392,5682.42392,273.02963,273.02963,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,69.44000,0.01271,1200.55323,2.00000,44.99491,0.00000
,24,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Heating,5023.87920,5023.87920,91.70698,91.70698,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,25,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Cooling,6879.44541,6879.44541,351.58894,351.58894,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,73.90400,0.01271,1200.55323,2.00000,44.99491,0.00000
,26,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Heating,8121.23264,8121.23264,148.24087,148.24087,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,27,LIVING_UNIT3_BACKROW_TOPFLOOR,Cooling,6936.91628,6936.91628,354.53385,354.53385,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,73.90400,0.01271,1200.55323,2.00000,44.99491,0.00000
,28,LIVING_UNIT3_BACKROW_TOPFLOOR,Heating,11719.85563,11719.85563,213.89828,213.89828,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,29,LIVING_UNIT3_FRONTROW_TOPFLOOR,Cooling,7413.79365,7413.79365,378.89826,378.89826,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,77.69840,0.01272,1200.55323,2.00000,44.99491,0.00000
,30,LIVING_UNIT3_FRONTROW_TOPFLOOR,Heating,11723.90257,11723.90257,213.96184,213.96184,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,31,LIVING_UNIT1_FRONTROW_TOPFLOOR,Cooling,9327.26689,9327.26689,476.71604,476.71604,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,83.05520,0.01272,1200.55323,2.00000,44.99491,0.00000
,32,LIVING_UNIT1_FRONTROW_TOPFLOOR,Heating,11727.67618,11727.67618,214.02540,214.02540,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,33,LIVING_UNIT2_BACKROW_TOPFLOOR,Cooling,6212.69247,6212.69247,299.19488,299.19488,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,69.44000,0.01271,1200.55323,2.00000,44.99491,0.00000
,34,LIVING_UNIT2_BACKROW_TOPFLOOR,Heating,8596.53840,8596.53840,156.89511,156.89511,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,35,LIVING_UNIT2_FRONTROW_TOPFLOOR,Cooling,6244.30291,6244.30291,300.76267,300.76267,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,69.44000,0.01271,1200.55323,2.00000,44.99491,0.00000
,36,LIVING_UNIT2_FRONTROW_TOPFLOOR,Heating,8598.84137,8598.84137,156.93727,156.93727,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000
,37,LIVING_UNIT1_BACKROW_TOPFLOOR,Cooling,8867.90803,8867.90803,453.24147,453.24147,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,83.05520,0.01272,1200.55323,2.00000,44.99491,0.00000
,38,LIVING_UNIT1_BACKROW_TOPFLOOR,Heating,11727.09730,11727.09730,214.02540,214.02540,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,-26.8600,0.00018,1200.55323,2.00000,44.99491,0.00000


System Sizing Information

,,System Name,Load Type,Peak Load Kind,User Design Capacity,Calc Des Air Flow Rate [ft3/min],User Des Air Flow Rate [ft3/min],Design Day Name,Date/Time of Peak
,1,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Cooling,Sensible,2759.15,459.70333,459.70333,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,2,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Heating,Sensible,4787.23,214.63980,214.63980,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,3,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Cooling,Sensible,1428.92,250.31776,250.31776,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,4,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Heating,Sensible,3940.16,161.11989,161.11989,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,5,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Cooling,Sensible,2049.38,347.47877,347.47877,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,6,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Heating,Sensible,4789.25,214.76692,214.76692,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,7,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Cooling,Sensible,2597.87,431.16520,431.16520,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,8,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Heating,Sensible,4788.08,214.70336,214.70336,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,9,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Cooling,Sensible,1397.78,245.02116,245.02116,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,10,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Heating,Sensible,3940.30,161.12858,161.12858,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,11,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Cooling,Sensible,1841.78,320.21182,320.21182,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,12,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Heating,Sensible,4788.70,214.74574,214.74574,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,13,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Cooling,Sensible,2788.46,464.89401,464.89401,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,14,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Heating,Sensible,3736.81,148.28346,148.28346,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,15,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Cooling,Sensible,1600.70,279.51268,279.51268,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,16,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Heating,Sensible,2841.83,91.72117,91.72117,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,17,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Cooling,Sensible,2214.73,376.73724,376.73724,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,18,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Heating,Sensible,3737.05,148.29892,148.29892,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,19,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Cooling,Sensible,2572.78,426.71605,426.71605,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,20,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Heating,Sensible,3737.28,148.31290,148.31290,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,21,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Cooling,Sensible,1562.45,273.02963,273.02963,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,22,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Heating,Sensible,2841.60,91.70698,91.70698,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,23,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,Cooling,Sensible,2019.07,351.58894,351.58894,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,24,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,Heating,Sensible,3736.13,148.24087,148.24087,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,25,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,Cooling,Sensible,2855.17,476.71604,476.71604,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,26,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,Heating,Sensible,4777.61,214.02540,214.02540,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,27,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,Cooling,Sensible,1725.49,300.76267,300.76267,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,28,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,Heating,Sensible,3873.98,156.93727,156.93727,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,29,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,Cooling,Sensible,2226.97,378.89826,378.89826,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,30,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,Heating,Sensible,4776.52,213.96184,213.96184,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,31,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,Cooling,Sensible,2722.53,453.24147,453.24147,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,32,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,Heating,Sensible,4777.44,214.02540,214.02540,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,33,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,Cooling,Sensible,1716.31,299.19488,299.19488,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,34,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,Heating,Sensible,3873.31,156.89511,156.89511,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,35,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,Cooling,Sensible,2035.67,354.53385,354.53385,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,36,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,Heating,Sensible,4775.35,213.89828,213.89828,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00
,37,CENTRAL SYSTEM_UNITHEATEDBSMT,Cooling,Sensible,5932.00,1013.41089,1013.41089,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,38,CENTRAL SYSTEM_UNITHEATEDBSMT,Heating,Sensible,38696.41,2358.00818,2358.00818,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 05:00:00


Component Sizing Information

,,Component Type,Component Name,Input Field Description,Value
,1,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNITHEATEDBSMT,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,2,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNITHEATEDBSMT,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,3,Fan:OnOff,OASUPPLYFAN_UNITHEATEDBSMT,User-Specified Maximum Flow Rate [ft3/min],44.99491
,4,Fan:OnOff,OAEXHAUSTFAN_UNITHEATEDBSMT,User-Specified Maximum Flow Rate [ft3/min],44.99491
,5,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNITHEATEDBSMT,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,6,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNITHEATEDBSMT,Design Size Maximum Air Flow Rate [ft3/min],2358.00818
,7,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,8,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,9,Fan:OnOff,OASUPPLYFAN_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,10,Fan:OnOff,OAEXHAUSTFAN_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,11,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,12,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_FRONTROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [ft3/min],459.70333
,13,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,14,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,15,Fan:OnOff,OASUPPLYFAN_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,16,Fan:OnOff,OAEXHAUSTFAN_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,17,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,18,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_FRONTROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [ft3/min],250.31776
,19,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,20,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,21,Fan:OnOff,OASUPPLYFAN_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,22,Fan:OnOff,OAEXHAUSTFAN_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,23,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,24,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT3_FRONTROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [ft3/min],347.47877
,25,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,26,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,27,Fan:OnOff,OASUPPLYFAN_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,28,Fan:OnOff,OAEXHAUSTFAN_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,29,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
