,91,CLOTHESWASHER3_BACKROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,92,GAS_DRYER3_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,55.199,0.046,8.089,0.000,1.000,0.000,0.000,gas_dryer,0.000,55.199
,93,GAS_RANGE3_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,94,TELEVISION3_BACKROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,95,GAS_MELS3_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1343.274,1.119,196.845,6.000E-002,0.690,0.250,0.000,gas_mels,694.502,1343.274
,96,IECC_ADJ3_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,556.368,0.463,81.531,6.244E-002,0.412,0.251,0.275,IECC_adj,287.655,556.368
,97,DISHWASHER1_FRONTROW_TOPFLOOR,DISHWASHER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,98,REFRIGERATOR1_FRONTROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,99,CLOTHESWASHER1_FRONTROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,100,GAS_DRYER1_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,55.199,0.046,8.089,0.000,1.000,0.000,0.000,gas_dryer,0.000,55.199
,101,GAS_RANGE1_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,102,TELEVISION1_FRONTROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,103,GAS_MELS1_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,1343.274,1.119,196.845,6.000E-002,0.690,0.250,0.000,gas_mels,694.502,1343.274
,104,IECC_ADJ1_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,556.368,0.463,81.531,6.244E-002,0.412,0.251,0.275,IECC_adj,287.655,556.368
,105,DISHWASHER2_FRONTROW_TOPFLOOR,DISHWASHER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,106,REFRIGERATOR2_FRONTROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,107,CLOTHESWASHER2_FRONTROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,108,GAS_DRYER2_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,55.199,0.046,8.089,0.000,1.000,0.000,0.000,gas_dryer,0.000,55.199
,109,GAS_RANGE2_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,110,TELEVISION2_FRONTROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,111,GAS_MELS2_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,1343.274,1.119,196.845,6.000E-002,0.690,0.250,0.000,gas_mels,694.502,1343.274
,112,IECC_ADJ2_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,556.368,0.463,81.531,6.244E-002,0.412,0.251,0.275,IECC_adj,287.655,556.368
,113,DISHWASHER3_FRONTROW_TOPFLOOR,DISHWASHER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,114,REFRIGERATOR3_FRONTROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,115,CLOTHESWASHER3_FRONTROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,116,GAS_DRYER3_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,55.199,0.046,8.089,0.000,1.000,0.000,0.000,gas_dryer,0.000,55.199
,117,GAS_RANGE3_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,118,TELEVISION3_FRONTROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,119,GAS_MELS3_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,1343.274,1.119,196.845,6.000E-002,0.690,0.250,0.000,gas_mels,694.502,1343.274
,120,IECC_ADJ3_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,556.368,0.463,81.531,6.244E-002,0.412,0.251,0.275,IECC_adj,287.655,556.368
,121,DISHWASHER1_BACKROW_TOPFLOOR,DISHWASHER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,122,REFRIGERATOR1_BACKROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,123,CLOTHESWASHER1_BACKROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,124,GAS_DRYER1_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,55.199,0.046,8.089,0.000,1.000,0.000,0.000,gas_dryer,0.000,55.199
,125,GAS_RANGE1_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,126,TELEVISION1_BACKROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,127,GAS_MELS1_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,1343.274,1.119,196.845,6.000E-002,0.690,0.250,0.000,gas_mels,694.502,1343.274
,128,IECC_ADJ1_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,556.368,0.463,81.531,6.244E-002,0.412,0.251,0.275,IECC_adj,287.655,556.368
,129,DISHWASHER2_BACKROW_TOPFLOOR,DISHWASHER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,130,REFRIGERATOR2_BACKROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,131,CLOTHESWASHER2_BACKROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,132,GAS_DRYER2_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,55.199,0.046,8.089,0.000,1.000,0.000,0.000,gas_dryer,0.000,55.199
,133,GAS_RANGE2_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,134,TELEVISION2_BACKROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,135,GAS_MELS2_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,1343.274,1.119,196.845,6.000E-002,0.690,0.250,0.000,gas_mels,694.502,1343.274
,136,IECC_ADJ2_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,556.368,0.463,81.531,6.244E-002,0.412,0.251,0.275,IECC_adj,287.655,556.368
,137,DISHWASHER3_BACKROW_TOPFLOOR,DISHWASHER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,138,REFRIGERATOR3_BACKROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,139,CLOTHESWASHER3_BACKROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,140,GAS_DRYER3_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,55.199,0.046,8.089,0.000,1.000,0.000,0.000,gas_dryer,0.000,55.199
,141,GAS_RANGE3_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,142,TELEVISION3_BACKROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,143,GAS_MELS3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1343.274,1.119,196.845,6.000E-002,0.690,0.250,0.000,gas_mels,694.502,1343.274
,144,IECC_ADJ3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,556.368,0.463,81.531,6.244E-002,0.412,0.251,0.275,IECC_adj,287.655,556.368


GasEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Equipment Level {Btu/h},Equipment/Floor Area {Btu/h-ft2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {Btu/h},Nominal Maximum Equipment Level {Btu/h}
,1,GAS_DRYER1_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,2,GAS_RANGE1_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,3,GAS_MELS1_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,4,GAS_DRYER2_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,5,GAS_RANGE2_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,6,GAS_MELS2_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,7,GAS_DRYER3_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,8,GAS_RANGE3_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,9,GAS_MELS3_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,10,GAS_DRYER1_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,11,GAS_RANGE1_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,12,GAS_MELS1_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,13,GAS_DRYER2_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,14,GAS_RANGE2_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,15,GAS_MELS2_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,16,GAS_DRYER3_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,17,GAS_RANGE3_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,18,GAS_MELS3_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,19,GAS_DRYER1_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,20,GAS_RANGE1_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,21,GAS_MELS1_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,22,GAS_DRYER2_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,23,GAS_RANGE2_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,24,GAS_MELS2_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,25,GAS_DRYER3_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,26,GAS_RANGE3_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,27,GAS_MELS3_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,28,GAS_DRYER1_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,29,GAS_RANGE1_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,30,GAS_MELS1_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,31,GAS_DRYER2_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,32,GAS_RANGE2_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,33,GAS_MELS2_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,34,GAS_DRYER3_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,35,GAS_RANGE3_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,36,GAS_MELS3_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,37,GAS_DRYER1_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,38,GAS_RANGE1_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,39,GAS_MELS1_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,40,GAS_DRYER2_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,41,GAS_RANGE2_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,42,GAS_MELS2_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,43,GAS_DRYER3_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,44,GAS_RANGE3_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,45,GAS_MELS3_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,46,GAS_DRYER1_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,47,GAS_RANGE1_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,48,GAS_MELS1_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,49,GAS_DRYER2_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,50,GAS_RANGE2_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,51,GAS_MELS2_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,52,GAS_DRYER3_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,53,GAS_RANGE3_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,54,GAS_MELS3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {Hours},ThermalConductance {Btu/h-ft2-F},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,7,1.000,0.0498,0.900,0.900,0.700,0.700,MediumSmooth
,2,CEILING-FLOOR-LAYER,3,1,5,1.000,0.228,0.900,0.900,0.700,0.700,Rough
,3,EXTERIOR FLOOR,4,3,3,1.000,0.300,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR CEILING,6,2,7,1.000,0.0190,0.900,0.900,0.700,0.700,Rough
,5,ATTIC FLOOR,7,2,7,1.000,0.0190,0.900,0.900,0.700,0.700,MediumSmooth
,6,INTERIORWALL,9,3,3,1.000,0.597,0.900,0.900,0.700,0.700,MediumSmooth
,7,EXTERIOR ROOF,11,2,2,1.000,0.943,0.900,0.900,0.750,0.700,MediumRough
,8,EXTERIOR DOOR,14,1,3,1.000,0.300,0.900,0.900,0.700,0.700,Smooth
,9,GABLE_END,16,5,4,1.000,0.428,0.900,0.900,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {ft},Conductivity {w/m-K},Density {lb/ft3},Specific Heat {Btu/lbm-R},ThermalResistance {m2-K/w}
