,MAIN ELECTRIC HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,14675.138,14675.138,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,378.439310,0.46913178,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,14675.14,14675.14,1.0000,0.46913178,378.439310,59.88,51.31,0.00614905,7.4,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,14675.14,-26.9,0.00018338,-26.9,44.99498340,11.8896,71.59,0.00695406,71.59,0.00695406,41.9229,10077.60,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,11605.286,9291.834,435.325016,-999.,-999.00,-999.0000,1.00513,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,435.325016,0.53965007,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,11505.17,9835.38,0.9914,0.53965007,435.325016,74.35,61.59,0.00888392,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,743.847,10761.33,83.06,0.01272282,69.78,44.99498340,10.3360,71.60,0.00844140,71.60,0.00844140,50.7489,8517.48,0.00,11610.13,9232.48,0.51833797,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,14670.848,14670.848,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,435.325016,0.53965007,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,14670.85,14670.85,1.0000,0.53965007,435.325016,61.41,52.16,0.00625390,7.7,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,14670.85,-26.9,0.00018338,-26.9,44.99498340,10.3360,71.59,0.00695368,71.59,0.00695368,41.9207,10073.24,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7016.120,5616.527,251.629166,-999.,-999.00,-999.0000,1.00000,1.00000,0.2444,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,251.629166,0.31193176,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7587.20,5482.41,1.0814,0.31193176,251.629166,73.35,62.81,0.00991433,11.5,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,429.963,7157.24,69.44,0.01270967,65.53,44.99498340,17.8815,72.30,0.00930564,72.30,0.00930564,54.5600,5248.70,0.00,7019.05,5581.27,0.29961281,80.00,67.00,0.01118466,13.2,58.83,57.82,0.00996897,9.6
,MAIN ELECTRIC HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,11592.746,11592.746,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,251.629166,0.31193176,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,11592.75,11592.75,1.0000,0.31193176,251.629166,53.98,47.58,0.00558015,6.3,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,11592.75,-26.9,0.00018338,-26.9,44.99498340,17.8815,71.59,0.00675531,71.59,0.00675531,40.7358,6949.58,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9446.206,7563.155,354.335931,-999.,-999.00,-999.0000,1.05439,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,354.335931,0.43925206,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,9823.51,8087.08,1.0399,0.43925206,354.335931,73.46,61.57,0.00907569,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,605.459,9218.05,73.90,0.01271395,66.97,44.99498340,12.6984,71.60,0.00854649,71.60,0.00854649,51.3714,6933.02,0.00,9450.15,7514.84,0.42190492,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,14673.159,14673.159,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,354.335931,0.43925206,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,14673.16,14673.16,1.0000,0.43925206,354.335931,59.09,50.87,0.00609414,7.3,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,14673.16,-26.9,0.00018338,-26.9,44.99498340,12.6984,71.59,0.00695388,71.59,0.00695388,41.9219,10075.59,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12432.741,9954.340,466.363610,-999.,-999.00,-999.0000,1.03343,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,466.363610,0.57812702,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12288.11,10768.75,0.9884,0.57812702,466.363610,74.27,61.33,0.00873216,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,796.883,11491.23,83.06,0.01272282,69.78,44.99498340,9.6480,71.60,0.00830602,71.60,0.00830602,49.9447,9125.07,0.00,12437.93,9890.75,0.55529537,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,12586.911,12586.911,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,466.363610,0.57812702,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,12586.91,12586.91,1.0000,0.57812702,466.363610,62.10,53.50,0.00682681,8.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,12586.91,-26.9,0.00018338,-26.9,44.99498340,9.6480,71.60,0.00753621,71.60,0.00753621,45.3771,7958.08,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7433.683,5951.817,278.844306,-999.,-999.00,-999.0000,1.00675,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,278.844306,0.34566897,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7978.00,6102.87,1.0732,0.34566897,278.844306,73.41,62.26,0.00953580,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,476.466,7501.54,69.44,0.01270967,65.53,44.99498340,16.1362,72.30,0.00892512,72.30,0.00892512,52.3516,5800.48,0.00,7436.78,5913.80,0.33201766,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,9503.867,9503.867,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,278.844306,0.34566897,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,9503.87,9503.87,1.0000,0.34566897,278.844306,55.71,49.97,0.00639393,7.0,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,9503.87,-26.9,0.00018338,-26.9,44.99498340,16.1362,71.60,0.00758890,71.60,0.00758890,45.6874,4829.37,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,10081.205,8071.570,378.155322,-999.,-999.00,-999.0000,1.05607,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,378.155322,0.46877973,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,10256.93,8787.99,1.0174,0.46877973,378.155322,73.89,61.39,0.00885341,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,646.160,9610.77,77.70,0.01271761,68.16,44.99498340,11.8985,71.60,0.00833153,71.60,0.00833153,50.0955,7399.29,0.00,10085.41,8020.01,0.45026648,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,12587.812,12587.812,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,378.155322,0.46877973,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,12587.81,12587.81,1.0000,0.46877973,378.155322,59.88,52.27,0.00666137,7.7,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,12587.81,-26.9,0.00018338,-26.9,44.99498340,11.8985,71.60,0.00753626,71.60,0.00753626,45.3774,7958.99,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,11395.535,9123.895,427.457060,-999.,-999.00,-999.0000,1.01813,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,427.457060,0.52989657,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,11281.31,9779.27,0.9900,0.52989657,427.457060,74.37,61.47,0.00880045,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,730.402,10550.91,83.06,0.01272282,69.78,44.99498340,10.5262,71.60,0.00833900,71.60,0.00833900,50.1406,8363.76,0.00,11400.29,9065.61,0.50896966,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,12588.529,12588.529,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,427.457060,0.52989657,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,12588.53,12588.53,1.0000,0.52989657,427.457060,61.23,53.02,0.00676231,8.0,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,12588.53,-26.9,0.00018338,-26.9,44.99498340,10.5262,71.60,0.00753630,71.60,0.00753630,45.3776,7959.72,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7268.528,5816.021,271.543941,-999.,-999.00,-999.0000,1.00000,1.00000,0.2443,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,271.543941,0.33661908,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7812.64,5905.55,1.0749,0.33661908,271.543941,73.40,62.37,0.00961319,11.4,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,463.991,7348.65,69.44,0.01270967,65.53,44.99498340,16.5701,72.30,0.00899820,72.30,0.00899820,52.7763,5652.47,0.00,7271.56,5779.35,0.32332517,80.00,67.00,0.01118466,13.2,59.69,58.23,0.01001548,9.7
,MAIN ELECTRIC HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,9503.098,9503.098,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,271.543941,0.33661908,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,9503.10,9503.10,1.0000,0.33661908,271.543941,55.28,49.71,0.00636176,6.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,9503.10,-26.9,0.00018338,-26.9,44.99498340,16.5701,71.60,0.00758885,71.60,0.00758885,45.6871,4828.59,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9376.664,7507.475,351.727319,-999.,-999.00,-999.0000,1.07211,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,351.727319,0.43601829,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,9732.19,8149.97,1.0379,0.43601829,351.727319,73.46,61.42,0.00897271,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,601.002,9131.19,73.90,0.01271395,66.97,44.99498340,12.7926,71.60,0.00842390,71.60,0.00834456,50.1728,6776.96,0.00,9380.58,7459.52,0.41879887,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,12584.660,12584.660,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,351.727319,0.43601829,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,12584.66,12584.66,1.0000,0.43601829,351.727319,59.00,51.78,0.00659549,7.6,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,12584.66,-26.9,0.00018338,-26.9,44.99498340,12.7926,71.60,0.00753609,71.60,0.00753609,45.3764,7955.80,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12736.815,10197.798,477.769708,-999.,-999.00,-999.0000,1.02240,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,477.769708,0.59226657,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12602.97,10913.75,0.9895,0.59226657,477.769708,74.25,61.43,0.00880227,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,816.372,11786.60,83.06,0.01272282,69.78,44.99498340,9.4177,71.60,0.00839466,71.60,0.00839466,50.4714,9348.01,0.00,12742.13,10132.66,0.56887652,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16282.657,16282.657,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,477.769708,0.59226657,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,16282.66,16282.66,1.0000,0.59226657,477.769708,62.32,52.87,0.00642961,7.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16282.66,-26.9,0.00018338,-26.9,44.99498340,9.4177,71.59,0.00707902,71.59,0.00707902,42.6672,11708.86,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
